Date,High,Low,Open,Close,Volume,LogClose,Return,RollingMean,RollingStd,Lag1,Lag2,Lag3
5/3/2013 23:59,108.1279984,79.09999847,106.25,97.75,0,4.582413199,-0.070905799,120.697998,20.51610346,105.2099991,116.9899979,139
5/4/2013 23:59,115,92.5,98.09999847,112.5,0,4.722953222,0.150895141,114.2899994,15.62926906,97.75,105.2099991,116.9899979
5/5/2013 23:59,118.8000031,107.1429977,112.9000015,115.9100037,0,4.752814059,0.030311144,109.6720001,8.101032382,112.5,97.75,105.2099991
5/6/2013 23:59,124.663002,106.6399994,115.9800034,112.3000031,0,4.721173889,-0.031144858,108.7340012,7.270849345,115.9100037,112.5,97.75
5/7/2013 23:59,113.4440002,97.69999695,112.25,111.5,0,4.714024591,-0.007123803,109.9920013,7.049474048,112.3000031,115.9100037,112.5
5/8/2013 23:59,115.7799988,109.5999985,109.5999985,113.5660019,0,4.732384182,0.018529165,113.1552017,1.707193407,111.5,112.3000031,115.9100037
5/9/2013 23:59,113.4599991,109.2600021,113.1999969,112.6699982,0,4.724463176,-0.007889718,113.1892014,1.692512232,113.5660019,111.5,112.3000031
5/10/2013 23:59,122,111.5510025,112.7990036,117.1999969,0,4.763881851,0.040205901,113.4472,2.225381439,112.6699982,113.5660019,111.5
5/11/2013 23:59,118.6790009,113.0100021,117.6999969,115.2429962,0,4.74704291,-0.016697959,114.0357986,2.235278035,117.1999969,112.6699982,113.5660019
5/12/2013 23:59,117.4489975,113.4349976,115.6399994,115,0,4.744932128,-0.002108555,114.7357986,1.73459513,115.2429962,117.1999969,112.6699982
5/13/2013 23:59,118.6989975,114.5,114.8199997,117.9800034,0,4.770515147,0.025913073,115.6185989,2.07936523,115,115.2429962,117.1999969
5/14/2013 23:59,119.8000031,110.25,117.9800034,111.5,0,4.714024591,-0.05492459,115.3845993,2.51445176,117.9800034,115,115.2429962
5/15/2013 23:59,115.8099976,103.5,111.4000015,114.2200012,0,4.738126424,0.02439463,114.7886002,2.322413389,111.5,117.9800034,115
5/16/2013 23:59,118.7600021,112.1999969,114.2200012,118.7600021,0,4.777104668,0.039747863,115.4920013,2.943896549,114.2200012,111.5,117.9800034
5/17/2013 23:59,125.3000031,116.5709991,118.2099991,123.0149994,0,4.812306294,0.035828538,117.0950012,4.420732372,118.7600021,114.2200012,111.5
5/18/2013 23:59,125.25,122.3000031,123.5,123.4980011,0,4.816224971,0.003926364,118.1986008,5.298514359,123.0149994,118.7600021,114.2200012
5/19/2013 23:59,124.5,119.5709991,123.2109985,121.9899979,0,4.803939057,-0.01221075,120.2966003,3.866278776,123.4980011,123.0149994,118.7600021
5/20/2013 23:59,123.6210022,120.1200027,122.5,122,0,4.804021045,8.20E-05,121.8526001,1.848193956,121.9899979,123.4980011,123.0149994
5/21/2013 23:59,123,121.2099991,122.0199966,122.8799973,0,4.811208247,0.007213092,122.6765991,0.663286214,122,121.9899979,123.4980011
5/22/2013 23:59,124.0009995,122,122.8899994,123.8889999,0,4.819386003,0.008211285,122.8513992,0.860584106,122.8799973,122,121.9899979
5/23/2013 23:59,126.9339981,123.0999985,123.8000031,126.6999969,0,4.841822063,0.022689642,123.4917984,1.956110615,123.8889999,122.8799973,122
5/24/2013 23:59,133.8500061,125.7190018,126.3000031,133.1999969,0,4.891851735,0.05130229,125.7337982,4.532283454,126.6999969,123.8889999,122.8799973
5/25/2013 23:59,133.2189941,128.8999939,133.1000061,131.9799957,0,4.882650364,-0.009159169,127.7297974,4.672259745,133.1999969,126.6999969,123.8889999
5/26/2013 23:59,136,130.6150055,131.9859924,133.4799957,0,4.893951622,0.011365359,129.8497971,4.312547712,131.9799957,133.1999969,126.6999969
5/27/2013 23:59,135.4649963,124.6999969,133.5,129.7449951,0,4.865570948,-0.027981726,131.0209961,2.829028823,133.4799957,131.9799957,133.1999969
5/28/2013 23:59,130.5800018,125.5999985,129.7700043,129,0,4.859812404,-0.005741995,131.4809967,2.022931358,129.7449951,133.4799957,131.9799957
5/29/2013 23:59,132.5899963,127.6620026,129,132.3000031,0,4.885072094,0.025581419,131.3009979,1.865664551,129,129.7449951,133.4799957
5/30/2013 23:59,132.25,127,132.25,128.798996,0,4.858253018,-0.026462638,130.664798,2.103451969,132.3000031,129,129.7449951
5/31/2013 23:59,129.8999939,126.4000015,128.798996,129,0,4.859812404,0.001560602,129.7687988,1.460323791,128.798996,132.3000031,129
6/1/2013 23:59,129.7799988,127.1989975,128.8150024,129.3000031,0,4.862135309,0.002325605,129.6798004,1.475616953,129,128.798996,132.3000031
